fast,slow,rsi_w,rsi_os,rsi_ob,vol_th,sl,tp,pos,trades,sharpe,total_return,annual_return,max_dd_pct,win_rate,bars
3,13,14,25.0,65.0,1.0,0.03,0.08,0.3,401,1.4750,660.7445,338.1208,-39.3882,0.0000,6073
3,13,14,25.0,65.0,1.0,0.03,0.12,0.3,323,1.4292,529.9407,271.1850,-33.4690,0.0000,6073
3,13,14,25.0,65.0,1.0,0.03,0.18,0.3,256,1.6971,565.9050,289.5889,-29.2487,0.0000,6073
3,13,14,25.0,65.0,1.0,0.05,0.08,0.3,150,1.1303,300.3247,153.6843,-50.2243,0.0000,6073
3,13,14,25.0,65.0,1.0,0.05,0.12,0.3,137,0.9558,168.6013,86.2778,-43.5532,0.0000,6073
3,13,14,25.0,65.0,1.0,0.05,0.18,0.3,148,0.9986,109.6490,56.1104,-24.0250,0.0000,6073
3,13,14,25.0,65.0,1.2,0.03,0.08,0.3,349,1.4074,534.4004,273.4672,-35.2067,0.0000,6073
3,13,14,25.0,65.0,1.2,0.03,0.12,0.3,281,1.4722,463.7352,237.3059,-32.5648,0.0000,6073
3,13,14,25.0,65.0,1.2,0.03,0.18,0.3,219,1.7018,494.4918,253.0449,-28.6754,0.0000,6073
3,13,14,25.0,65.0,1.2,0.05,0.08,0.3,264,1.3959,134.2316,68.6900,-16.6297,0.0000,6073
3,13,14,25.0,65.0,1.2,0.05,0.12,0.3,239,1.5135,184.8566,94.5961,-22.2181,0.0000,6073
3,13,14,25.0,65.0,1.2,0.05,0.18,0.3,133,1.1399,102.5282,52.4665,-18.8577,0.0000,6073
3,13,14,25.0,65.0,1.5,0.03,0.08,0.3,118,1.5287,145.3738,74.3917,-16.9881,0.0000,6073
3,13,14,25.0,65.0,1.5,0.03,0.12,0.3,244,1.4256,421.3906,215.6370,-34.0163,0.0000,6073
3,13,14,25.0,65.0,1.5,0.03,0.18,0.3,180,1.5337,405.1990,207.3513,-29.7419,0.0000,6073
3,13,14,25.0,65.0,1.5,0.05,0.08,0.3,229,1.4336,126.3129,64.6377,-19.7720,0.0000,6073
3,13,14,25.0,65.0,1.5,0.05,0.12,0.3,204,1.5923,165.9646,84.9286,-22.4650,0.0000,6073
3,13,14,25.0,65.0,1.5,0.05,0.18,0.3,131,1.1612,105.3963,53.9342,-21.4450,0.0000,6073
3,13,14,25.0,70.0,1.0,0.03,0.08,0.3,401,1.4750,660.7445,338.1208,-39.3882,0.0000,6073
3,13,14,25.0,70.0,1.0,0.03,0.12,0.3,323,1.4292,529.9407,271.1850,-33.4690,0.0000,6073
3,13,14,25.0,70.0,1.0,0.03,0.18,0.3,256,1.6971,565.9050,289.5889,-29.2487,0.0000,6073
3,13,14,25.0,70.0,1.0,0.05,0.08,0.3,150,1.1303,300.3247,153.6843,-50.2243,0.0000,6073
3,13,14,25.0,70.0,1.0,0.05,0.12,0.3,137,0.9558,168.6013,86.2778,-43.5532,0.0000,6073
3,13,14,25.0,70.0,1.0,0.05,0.18,0.3,148,0.9986,109.6490,56.1104,-24.0250,0.0000,6073
3,13,14,25.0,70.0,1.2,0.03,0.08,0.3,349,1.4074,534.4004,273.4672,-35.2067,0.0000,6073
3,13,14,25.0,70.0,1.2,0.03,0.12,0.3,281,1.4722,463.7352,237.3059,-32.5648,0.0000,6073
3,13,14,25.0,70.0,1.2,0.03,0.18,0.3,219,1.7018,494.4918,253.0449,-28.6754,0.0000,6073
3,13,14,25.0,70.0,1.2,0.05,0.08,0.3,264,1.3959,134.2316,68.6900,-16.6297,0.0000,6073
3,13,14,25.0,70.0,1.2,0.05,0.12,0.3,239,1.5135,184.8566,94.5961,-22.2181,0.0000,6073
3,13,14,25.0,70.0,1.2,0.05,0.18,0.3,133,1.1399,102.5282,52.4665,-18.8577,0.0000,6073
3,13,14,25.0,70.0,1.5,0.03,0.08,0.3,118,1.5287,145.3738,74.3917,-16.9881,0.0000,6073
3,13,14,25.0,70.0,1.5,0.03,0.12,0.3,244,1.4256,421.3906,215.6370,-34.0163,0.0000,6073
3,13,14,25.0,70.0,1.5,0.03,0.18,0.3,180,1.5337,405.1990,207.3513,-29.7419,0.0000,6073
3,13,14,25.0,70.0,1.5,0.05,0.08,0.3,229,1.4336,126.3129,64.6377,-19.7720,0.0000,6073
3,13,14,25.0,70.0,1.5,0.05,0.12,0.3,204,1.5923,165.9646,84.9286,-22.4650,0.0000,6073
3,13,14,25.0,70.0,1.5,0.05,0.18,0.3,131,1.1612,105.3963,53.9342,-21.4450,0.0000,6073
3,13,14,30.0,65.0,1.0,0.03,0.08,0.3,401,1.4750,660.7445,338.1208,-39.3882,0.0000,6073
3,13,14,30.0,65.0,1.0,0.03,0.12,0.3,323,1.4292,529.9407,271.1850,-33.4690,0.0000,6073
3,13,14,30.0,65.0,1.0,0.03,0.18,0.3,256,1.6971,565.9050,289.5889,-29.2487,0.0000,6073
3,13,14,30.0,65.0,1.0,0.05,0.08,0.3,150,1.1303,300.3247,153.6843,-50.2243,0.0000,6073
3,13,14,30.0,65.0,1.0,0.05,0.12,0.3,137,0.9558,168.6013,86.2778,-43.5532,0.0000,6073
3,13,14,30.0,65.0,1.0,0.05,0.18,0.3,148,0.9986,109.6490,56.1104,-24.0250,0.0000,6073
3,13,14,30.0,65.0,1.2,0.03,0.08,0.3,349,1.4074,534.4004,273.4672,-35.2067,0.0000,6073
3,13,14,30.0,65.0,1.2,0.03,0.12,0.3,281,1.4722,463.7352,237.3059,-32.5648,0.0000,6073
3,13,14,30.0,65.0,1.2,0.03,0.18,0.3,219,1.7018,494.4918,253.0449,-28.6754,0.0000,6073
3,13,14,30.0,65.0,1.2,0.05,0.08,0.3,264,1.3959,134.2316,68.6900,-16.6297,0.0000,6073
3,13,14,30.0,65.0,1.2,0.05,0.12,0.3,239,1.5135,184.8566,94.5961,-22.2181,0.0000,6073
3,13,14,30.0,65.0,1.2,0.05,0.18,0.3,133,1.1399,102.5282,52.4665,-18.8577,0.0000,6073
3,13,14,30.0,65.0,1.5,0.03,0.08,0.3,118,1.5287,145.3738,74.3917,-16.9881,0.0000,6073
3,13,14,30.0,65.0,1.5,0.03,0.12,0.3,244,1.4256,421.3906,215.6370,-34.0163,0.0000,6073
3,13,14,30.0,65.0,1.5,0.03,0.18,0.3,180,1.5337,405.1990,207.3513,-29.7419,0.0000,6073
3,13,14,30.0,65.0,1.5,0.05,0.08,0.3,229,1.4336,126.3129,64.6377,-19.7720,0.0000,6073
3,13,14,30.0,65.0,1.5,0.05,0.12,0.3,204,1.5923,165.9646,84.9286,-22.4650,0.0000,6073
3,13,14,30.0,65.0,1.5,0.05,0.18,0.3,131,1.1612,105.3963,53.9342,-21.4450,0.0000,6073
3,13,14,30.0,70.0,1.0,0.03,0.08,0.3,401,1.4750,660.7445,338.1208,-39.3882,0.0000,6073
3,13,14,30.0,70.0,1.0,0.03,0.12,0.3,323,1.4292,529.9407,271.1850,-33.4690,0.0000,6073
3,13,14,30.0,70.0,1.0,0.03,0.18,0.3,256,1.6971,565.9050,289.5889,-29.2487,0.0000,6073
3,13,14,30.0,70.0,1.0,0.05,0.08,0.3,150,1.1303,300.3247,153.6843,-50.2243,0.0000,6073
3,13,14,30.0,70.0,1.0,0.05,0.12,0.3,137,0.9558,168.6013,86.2778,-43.5532,0.0000,6073
3,13,14,30.0,70.0,1.0,0.05,0.18,0.3,148,0.9986,109.6490,56.1104,-24.0250,0.0000,6073
3,13,14,30.0,70.0,1.2,0.03,0.08,0.3,349,1.4074,534.4004,273.4672,-35.2067,0.0000,6073
3,13,14,30.0,70.0,1.2,0.03,0.12,0.3,281,1.4722,463.7352,237.3059,-32.5648,0.0000,6073
3,13,14,30.0,70.0,1.2,0.03,0.18,0.3,219,1.7018,494.4918,253.0449,-28.6754,0.0000,6073
3,13,14,30.0,70.0,1.2,0.05,0.08,0.3,264,1.3959,134.2316,68.6900,-16.6297,0.0000,6073
3,13,14,30.0,70.0,1.2,0.05,0.12,0.3,239,1.5135,184.8566,94.5961,-22.2181,0.0000,6073
3,13,14,30.0,70.0,1.2,0.05,0.18,0.3,133,1.1399,102.5282,52.4665,-18.8577,0.0000,6073
3,13,14,30.0,70.0,1.5,0.03,0.08,0.3,118,1.5287,145.3738,74.3917,-16.9881,0.0000,6073
3,13,14,30.0,70.0,1.5,0.03,0.12,0.3,244,1.4256,421.3906,215.6370,-34.0163,0.0000,6073
3,13,14,30.0,70.0,1.5,0.03,0.18,0.3,180,1.5337,405.1990,207.3513,-29.7419,0.0000,6073
3,13,14,30.0,70.0,1.5,0.05,0.08,0.3,229,1.4336,126.3129,64.6377,-19.7720,0.0000,6073
3,13,14,30.0,70.0,1.5,0.05,0.12,0.3,204,1.5923,165.9646,84.9286,-22.4650,0.0000,6073
3,13,14,30.0,70.0,1.5,0.05,0.18,0.3,131,1.1612,105.3963,53.9342,-21.4450,0.0000,6073
3,13,14,35.0,65.0,1.0,0.03,0.08,0.3,401,1.4750,660.7445,338.1208,-39.3882,0.0000,6073
3,13,14,35.0,65.0,1.0,0.03,0.12,0.3,323,1.4292,529.9407,271.1850,-33.4690,0.0000,6073
3,13,14,35.0,65.0,1.0,0.03,0.18,0.3,256,1.6971,565.9050,289.5889,-29.2487,0.0000,6073
3,13,14,35.0,65.0,1.0,0.05,0.08,0.3,150,1.1303,300.3247,153.6843,-50.2243,0.0000,6073
3,13,14,35.0,65.0,1.0,0.05,0.12,0.3,137,0.9558,168.6013,86.2778,-43.5532,0.0000,6073
3,13,14,35.0,65.0,1.0,0.05,0.18,0.3,148,0.9986,109.6490,56.1104,-24.0250,0.0000,6073
3,13,14,35.0,65.0,1.2,0.03,0.08,0.3,349,1.4074,534.4004,273.4672,-35.2067,0.0000,6073
3,13,14,35.0,65.0,1.2,0.03,0.12,0.3,281,1.4722,463.7352,237.3059,-32.5648,0.0000,6073
3,13,14,35.0,65.0,1.2,0.03,0.18,0.3,219,1.7018,494.4918,253.0449,-28.6754,0.0000,6073
3,13,14,35.0,65.0,1.2,0.05,0.08,0.3,264,1.3959,134.2316,68.6900,-16.6297,0.0000,6073
3,13,14,35.0,65.0,1.2,0.05,0.12,0.3,239,1.5135,184.8566,94.5961,-22.2181,0.0000,6073
3,13,14,35.0,65.0,1.2,0.05,0.18,0.3,133,1.1399,102.5282,52.4665,-18.8577,0.0000,6073
3,13,14,35.0,65.0,1.5,0.03,0.08,0.3,118,1.5287,145.3738,74.3917,-16.9881,0.0000,6073
3,13,14,35.0,65.0,1.5,0.03,0.12,0.3,244,1.4256,421.3906,215.6370,-34.0163,0.0000,6073
3,13,14,35.0,65.0,1.5,0.03,0.18,0.3,180,1.5337,405.1990,207.3513,-29.7419,0.0000,6073
3,13,14,35.0,65.0,1.5,0.05,0.08,0.3,229,1.4336,126.3129,64.6377,-19.7720,0.0000,6073
3,13,14,35.0,65.0,1.5,0.05,0.12,0.3,204,1.5923,165.9646,84.9286,-22.4650,0.0000,6073
3,13,14,35.0,65.0,1.5,0.05,0.18,0.3,131,1.1612,105.3963,53.9342,-21.4450,0.0000,6073
3,13,14,35.0,70.0,1.0,0.03,0.08,0.3,401,1.4750,660.7445,338.1208,-39.3882,0.0000,6073
3,13,14,35.0,70.0,1.0,0.03,0.12,0.3,323,1.4292,529.9407,271.1850,-33.4690,0.0000,6073
3,13,14,35.0,70.0,1.0,0.03,0.18,0.3,256,1.6971,565.9050,289.5889,-29.2487,0.0000,6073
3,13,14,35.0,70.0,1.0,0.05,0.08,0.3,150,1.1303,300.3247,153.6843,-50.2243,0.0000,6073
3,13,14,35.0,70.0,1.0,0.05,0.12,0.3,137,0.9558,168.6013,86.2778,-43.5532,0.0000,6073
3,13,14,35.0,70.0,1.0,0.05,0.18,0.3,148,0.9986,109.6490,56.1104,-24.0250,0.0000,6073
3,13,14,35.0,70.0,1.2,0.03,0.08,0.3,349,1.4074,534.4004,273.4672,-35.2067,0.0000,6073
3,13,14,35.0,70.0,1.2,0.03,0.12,0.3,281,1.4722,463.7352,237.3059,-32.5648,0.0000,6073
3,13,14,35.0,70.0,1.2,0.03,0.18,0.3,219,1.7018,494.4918,253.0449,-28.6754,0.0000,6073
3,13,14,35.0,70.0,1.2,0.05,0.08,0.3,264,1.3959,134.2316,68.6900,-16.6297,0.0000,6073
3,13,14,35.0,70.0,1.2,0.05,0.12,0.3,239,1.5135,184.8566,94.5961,-22.2181,0.0000,6073
3,13,14,35.0,70.0,1.2,0.05,0.18,0.3,133,1.1399,102.5282,52.4665,-18.8577,0.0000,6073
3,13,14,35.0,70.0,1.5,0.03,0.08,0.3,118,1.5287,145.3738,74.3917,-16.9881,0.0000,6073
3,13,14,35.0,70.0,1.5,0.03,0.12,0.3,244,1.4256,421.3906,215.6370,-34.0163,0.0000,6073
3,13,14,35.0,70.0,1.5,0.03,0.18,0.3,180,1.5337,405.1990,207.3513,-29.7419,0.0000,6073
3,13,14,35.0,70.0,1.5,0.05,0.08,0.3,229,1.4336,126.3129,64.6377,-19.7720,0.0000,6073
3,13,14,35.0,70.0,1.5,0.05,0.12,0.3,204,1.5923,165.9646,84.9286,-22.4650,0.0000,6073
3,13,14,35.0,70.0,1.5,0.05,0.18,0.3,131,1.1612,105.3963,53.9342,-21.4450,0.0000,6073
3,20,14,25.0,65.0,1.0,0.03,0.08,0.3,480,0.9092,141.4899,72.4042,-39.6568,0.0000,6073
3,20,14,25.0,65.0,1.0,0.03,0.12,0.3,394,1.1154,167.8804,85.9089,-30.7631,0.0000,6073
3,20,14,25.0,65.0,1.0,0.03,0.18,0.3,285,1.5202,213.3068,109.1548,-24.6329,0.0000,6073
3,20,14,25.0,65.0,1.0,0.05,0.08,0.3,148,1.1182,297.6655,152.3235,-50.8762,0.0000,6073
3,20,14,25.0,65.0,1.0,0.05,0.12,0.3,136,0.9488,166.3694,85.1357,-43.9883,0.0000,6073
3,20,14,25.0,65.0,1.0,0.05,0.18,0.3,148,0.9868,107.5300,55.0260,-24.3020,0.0000,6073
3,20,14,25.0,65.0,1.2,0.03,0.08,0.3,419,0.8752,100.4253,51.3903,-26.8596,0.0000,6073
3,20,14,25.0,65.0,1.2,0.03,0.12,0.3,333,1.1664,126.0856,64.5214,-20.4273,0.0000,6073
3,20,14,25.0,65.0,1.2,0.03,0.18,0.3,238,1.5340,159.6318,81.6879,-16.4863,0.0000,6073
3,20,14,25.0,65.0,1.2,0.05,0.08,0.3,256,1.4629,133.8933,68.5168,-16.6502,0.0000,6073
3,20,14,25.0,65.0,1.2,0.05,0.12,0.3,226,1.5318,176.3230,90.2293,-22.2346,0.0000,6073
3,20,14,25.0,65.0,1.2,0.05,0.18,0.3,131,1.1763,102.4582,52.4306,-18.8577,0.0000,6073
3,20,14,25.0,65.0,1.5,0.03,0.08,0.3,350,0.9097,76.4346,39.1137,-20.4202,0.0000,6073
3,20,14,25.0,65.0,1.5,0.03,0.12,0.3,299,0.9609,73.0770,37.3955,-19.2878,0.0000,6073
3,20,14,25.0,65.0,1.5,0.03,0.18,0.3,196,1.2543,86.0757,44.0473,-16.1795,0.0000,6073
3,20,14,25.0,65.0,1.5,0.05,0.08,0.3,207,1.3595,108.2675,55.4034,-19.8166,0.0000,6073
3,20,14,25.0,65.0,1.5,0.05,0.12,0.3,178,1.4424,167.5674,85.7488,-18.8259,0.0000,6073
3,20,14,25.0,65.0,1.5,0.05,0.18,0.3,119,1.1176,85.2030,43.6007,-21.4450,0.0000,6073
3,20,14,25.0,70.0,1.0,0.03,0.08,0.3,480,0.9092,141.4899,72.4042,-39.6568,0.0000,6073
3,20,14,25.0,70.0,1.0,0.03,0.12,0.3,394,1.1154,167.8804,85.9089,-30.7631,0.0000,6073
