bar_index,bar_datetime,symbol,side,qty,price,fee
2,2021-05-26T00:00:00,MSFT,BUY,85,241.29655,6.153062
2,2021-05-26T00:00:00,AMZN,BUY,125,163.729525,6.139857
3,2021-05-27T00:00:00,TSM,BUY,191,106.856935,6.122902
3,2021-05-27T00:00:00,TSLA,BUY,95,206.744599,5.892221
4,2021-05-28T00:00:00,AVGO,BUY,424,42.52285,5.408906
56,2021-08-12T00:00:00,AMZN,SELL,125,164.5,6.16875
63,2021-08-23T00:00:00,TSM,SELL,191,101.727786,5.829002
156,2022-01-04T00:00:00,TSM,BUY,226,122.124842,8.280064
166,2022-01-19T00:00:00,MSFT,SELL,85,295.047046,7.5237
167,2022-01-20T00:00:00,AVGO,SELL,424,52.504882,6.678621
173,2022-01-28T00:00:00,TSM,SELL,226,110.736023,7.507902
173,2022-01-28T00:00:00,TSLA,SELL,95,277.183895,7.899741
179,2022-02-07T00:00:00,AMZN,BUY,140,158.52,6.65784
182,2022-02-10T00:00:00,NVDA,BUY,834,25.943337,6.491023
184,2022-02-14T00:00:00,NVDA,SELL,834,23.886433,5.976385
184,2022-02-14T00:00:00,AMZN,SELL,140,151.751,6.373542
198,2022-03-07T00:00:00,AVGO,BUY,392,55.192984,6.490695
206,2022-03-17T00:00:00,NVDA,BUY,887,24.076165,6.406668
208,2022-03-21T00:00:00,TSLA,BUY,73,304.990283,6.679287
214,2022-03-29T00:00:00,MSFT,BUY,78,303.012586,7.090495
221,2022-04-07T00:00:00,MSFT,SELL,78,286.361422,6.700857
224,2022-04-12T00:00:00,NVDA,SELL,887,22.496042,5.986197
234,2022-04-27T00:00:00,AVGO,SELL,392,51.723629,6.082699
234,2022-04-27T00:00:00,TSLA,SELL,73,299.523671,6.559568
257,2022-05-31T00:00:00,NVDA,BUY,1104,18.945507,6.274752
267,2022-06-14T00:00:00,NVDA,SELL,1104,15.705731,5.201738
290,2022-07-19T00:00:00,NVDA,BUY,1246,16.459518,6.152568
300,2022-08-02T00:00:00,NVDA,SELL,1246,18.09289,6.763122
385,2022-12-01T00:00:00,AVGO,BUY,391,52.139344,6.115945
389,2022-12-07T00:00:00,AVGO,SELL,391,49.165386,5.7671
410,2023-01-09T00:00:00,AVGO,BUY,372,56.511998,6.306739
414,2023-01-13T00:00:00,TSM,BUY,242,81.319575,5.903801
416,2023-01-18T00:00:00,NVDA,BUY,1146,17.648376,6.067512
428,2023-02-03T00:00:00,MSFT,BUY,86,252.357703,6.510829
441,2023-02-23T00:00:00,MSFT,SELL,86,249.108309,6.426994
467,2023-03-31T00:00:00,MSFT,BUY,90,276.567149,7.467313
484,2023-04-26T00:00:00,TSM,SELL,242,78.710897,5.714411
587,2023-09-22T00:00:00,MSFT,SELL,90,314.557446,8.493051
600,2023-10-11T00:00:00,TSLA,BUY,110,266.2,8.7846
607,2023-10-20T00:00:00,TSLA,SELL,110,217.01,7.16133
611,2023-10-26T00:00:00,MSFT,BUY,112,333.372938,11.201331
798,2024-07-26T00:00:00,MSFT,SELL,112,411.729352,13.834106
807,2024-08-08T00:00:00,AVGO,SELL,372,138.812839,15.491513
811,2024-08-14T00:00:00,TSM,BUY,295,168.006761,14.868598
815,2024-08-20T00:00:00,TSLA,BUY,238,224.88,16.056432
831,2024-09-12T00:00:00,MSFT,BUY,30,417.511459,3.757603
845,2024-10-02T00:00:00,MSFT,SELL,30,416.791459,3.751123
850,2024-10-09T00:00:00,AVGO,BUY,68,176.789291,3.606502
886,2024-11-29T00:00:00,AVGO,SELL,68,157.388235,3.21072
888,2024-12-03T00:00:00,MSFT,BUY,24,424.80061,3.058564
907,2024-12-31T00:00:00,MSFT,SELL,24,421.104458,3.031952
924,2025-01-28T00:00:00,NVDA,SELL,1146,121.770099,41.86456
925,2025-01-29T00:00:00,AMZN,BUY,303,239.015,21.726463
935,2025-02-12T00:00:00,TSLA,SELL,238,329.94,23.557716
943,2025-02-25T00:00:00,AMZN,SELL,303,211.63,19.237167
946,2025-02-28T00:00:00,TSM,SELL,295,176.46647,15.617283
990,2025-05-02T00:00:00,AVGO,BUY,278,202.261163,16.868581
990,2025-05-02T00:00:00,MSFT,BUY,129,427.533878,16.545561
997,2025-05-13T00:00:00,TSLA,BUY,175,320.0,16.8
997,2025-05-13T00:00:00,AMZN,BUY,267,211.08,16.907508
998,2025-05-14T00:00:00,TSM,BUY,253,192.925064,14.643012
1007,2025-05-28T00:00:00,AMZN,SELL,267,205.915,16.493792
1009,2025-05-30T00:00:00,NVDA,BUY,393,138.682313,16.350645
1014,2025-06-06T00:00:00,TSLA,SELL,175,298.83,15.688575
1130,2025-11-20T00:00:00,MSFT,SELL,129,491.587962,19.024454
1149,2025-12-18T00:00:00,NVDA,SELL,393,174.520554,20.575973
1161,2026-01-07T00:00:00,AMZN,BUY,360,239.61,25.87788
1172,2026-01-23T00:00:00,AVGO,SELL,278,318.631599,26.573875
1176,2026-01-29T00:00:00,NVDA,BUY,381,191.329644,21.868978
1182,2026-02-06T00:00:00,NVDA,SELL,381,176.680437,20.194574
1182,2026-02-06T00:00:00,AMZN,SELL,360,202.7,21.8916
1203,2026-03-10T00:00:00,AVGO,BUY,197,347.999993,20.5668
1207,2026-03-16T00:00:00,AVGO,SELL,197,325.337532,19.227448
1225,2026-04-10T00:00:00,AMZN,BUY,300,235.295,21.17655
1226,2026-04-13T00:00:00,NVDA,BUY,364,186.03,20.314476
1227,2026-04-14T00:00:00,AVGO,BUY,181,377.9,20.51997
