date,cash,position_value,nav
2024-01-31,89071.5026,23517.1849,112588.6875
2024-02-01,77976.9918,34944.7999,112921.7917
2024-02-02,77976.9918,36299.8918,114276.8835
2024-02-05,77976.9918,36376.7523,114353.744
2024-02-06,66494.5681,47646.3757,114140.9438
2024-02-07,66494.5681,48750.3361,115244.9042
2024-02-08,66494.5681,49791.8811,116286.4492
2024-02-09,66494.5681,50472.087,116966.6551
2024-02-12,66494.5681,49551.942,116046.51
2024-02-13,66494.5681,48471.0181,114965.5862
2024-02-14,54875.3018,60676.296,115551.5978
2024-02-15,54875.3018,61227.3413,116102.6431
2024-02-16,68910.3012,46653.6931,115563.9943
2024-02-20,79918.5292,34813.2067,114731.736
2024-02-21,79918.5292,34990.1944,114908.7237
2024-02-22,79918.5292,36279.3974,116197.9266
2024-02-23,79918.5292,35899.2561,115817.7853
2024-02-26,79918.5292,36449.8254,116368.3547
2024-02-27,79918.5292,36268.3956,116186.9248
2024-02-28,79918.5292,36320.5236,116239.0528
2024-02-29,79918.5292,36666.8258,116585.3551
2024-03-01,68538.4324,49145.7541,117684.1865
2024-03-04,68538.4324,48227.8965,116766.3289
2024-03-05,68538.4324,46653.1371,115191.5695
2024-03-06,79170.5918,35635.0725,114805.6644
2024-03-07,90393.114,25323.0944,115716.2084
2024-03-08,90393.114,24326.7246,114719.8386
2024-03-11,90393.114,23944.4617,114337.5757
2024-03-12,90393.114,24176.7385,114569.8525
2024-03-13,90393.114,23950.8065,114343.9205
2024-03-14,101765.0813,12691.25,114456.3313
2024-03-15,90030.1819,23670.15,113700.3319
2024-03-18,67730.3804,46770.8468,114501.2272
2024-03-19,67730.3804,46662.4718,114392.8522
2024-03-20,67730.3804,47378.7545,115109.1349
2024-03-21,67730.3804,47516.275,115246.6554
2024-03-22,56391.275,58910.4836,115301.7585
2024-03-25,56391.275,58896.697,115287.972
2024-03-26,56391.275,58827.7979,115219.0729
2024-03-27,56391.275,58794.0168,115185.2917
2024-03-28,67758.9398,47270.3844,115029.3242
2024-04-01,67758.9398,47584.5337,115343.4735
2024-04-02,67758.9398,46791.9709,114550.9107
2024-04-03,67758.9398,47214.6327,114973.5724
2024-04-04,79421.9598,34971.8725,114393.8323
2024-04-05,79421.9598,35719.3878,115141.3476
2024-04-08,79421.9598,35675.1661,115097.1259
2024-04-09,79421.9598,35737.065,115159.0248
2024-04-10,67943.8123,46976.4321,114920.2444
2024-04-11,67943.8123,47903.2709,115847.0832
2024-04-12,67943.8123,46847.5829,114791.3952
2024-04-15,78940.8697,35007.6683,113948.5381
2024-04-16,78940.8697,35114.6838,114055.5535
2024-04-17,89792.6779,23708.7078,113501.3857
2024-04-18,112561.1856,0.0,112561.1856
2024-04-19,112561.1856,0.0,112561.1856
2024-04-22,112561.1856,0.0,112561.1856
2024-04-23,112561.1856,0.0,112561.1856
2024-04-24,112561.1856,0.0,112561.1856
2024-04-25,101413.7424,11231.88,112645.6224
2024-04-26,90214.4027,22303.0376,112517.4403
2024-04-29,78802.3101,35358.2799,114160.59
2024-04-30,78802.3101,33952.5303,112754.8404
2024-05-01,89263.791,23156.34,112420.131
2024-05-02,77766.4703,34753.7063,112520.1766
2024-05-03,77766.4703,35314.5687,113081.039
2024-05-06,77766.4703,36145.7921,113912.2624
2024-05-07,77766.4703,35483.2233,113249.6936
2024-05-08,77766.4703,35212.8118,112979.2821
2024-05-09,77766.4703,34907.8198,112674.2901
2024-05-10,77766.4703,34697.6372,112464.1075
2024-05-13,77766.4703,34934.2397,112700.71
2024-05-14,77766.4703,35464.596,113231.0663
2024-05-15,77766.4703,35590.2481,113356.7184
2024-05-16,77766.4703,35462.1871,113228.6574
2024-05-17,77766.4703,35456.376,113222.8463
2024-05-20,77766.4703,35518.897,113285.3673
2024-05-21,77766.4703,36342.5683,114109.0385
2024-05-22,89333.5791,24318.6945,113652.2736
2024-05-23,89333.5791,25056.8396,114390.4188
2024-05-24,77861.409,37220.5727,115081.9817
2024-05-28,77861.409,38066.7726,115928.1817
2024-05-29,77861.409,37973.6331,115835.0421
2024-05-30,89638.8747,25562.5586,115201.4333
2024-05-31,100638.2338,14353.8226,114992.0563
2024-06-03,100638.2338,15056.503,115694.7368
2024-06-04,100638.2338,15244.6439,115882.8776
2024-06-05,100638.2338,16030.5933,116668.8271
2024-06-06,100638.2338,15841.7979,116480.0316
2024-06-07,100638.2338,15827.396,116465.6298
2024-06-10,100638.2338,15945.4914,116583.7252
2024-06-11,88727.8803,27429.0196,116156.8999
2024-06-12,88727.8803,28264.436,116992.3163
2024-06-13,88727.8803,30298.3051,119026.1854
2024-06-14,88727.8803,31040.4485,119768.3288
2024-06-17,88727.8803,31667.4142,120395.2945
2024-06-18,88727.8803,32060.5613,120788.4416
2024-06-20,102183.7443,17123.9232,119307.6676
2024-06-21,106573.5811,11722.96,118296.5411
2024-06-24,106573.5811,11505.34,118078.9211
2024-06-25,94793.1533,23362.8175,118155.9708
2024-06-26,94793.1533,23777.2935,118570.4469
2024-06-27,94793.1533,24010.0676,118803.2209
2024-06-28,94793.1533,23874.0288,118667.1821
2024-07-01,83014.281,35793.0032,118807.2841
2024-07-02,83014.281,36316.8927,119331.1737
2024-07-03,83014.281,37146.9102,120161.1911
2024-07-05,83014.281,37213.0188,120227.2997
2024-07-08,83014.281,37654.998,120669.279
2024-07-09,83014.281,37423.6603,120437.9412
2024-07-10,83014.281,37980.0292,120994.3102
2024-07-11,83014.281,36959.9605,119974.2414
2024-07-12,71004.9481,48966.7021,119971.6502
2024-07-15,71004.9481,48734.7567,119739.7048
2024-07-16,71004.9481,48471.4343,119476.3824
2024-07-17,93957.4376,22907.9823,116865.4199
2024-07-18,105568.5375,11759.789,117328.3266
2024-07-19,116965.0038,0.0,116965.0038
2024-07-22,116965.0038,0.0,116965.0038
2024-07-23,116965.0038,0.0,116965.0038
2024-07-24,116965.0038,0.0,116965.0038
2024-07-25,116965.0038,0.0,116965.0038
2024-07-26,116965.0038,0.0,116965.0038
2024-07-29,116965.0038,0.0,116965.0038
2024-07-30,116965.0038,0.0,116965.0038
2024-07-31,116965.0038,0.0,116965.0038
2024-08-01,116965.0038,0.0,116965.0038
2024-08-02,116965.0038,0.0,116965.0038
2024-08-05,116965.0038,0.0,116965.0038
2024-08-06,93299.2481,23068.3426,116367.5908
2024-08-07,93299.2481,23095.1321,116394.3803
2024-08-08,93299.2481,23434.9206,116734.1688
2024-08-09,93299.2481,23612.0764,116911.3246
2024-08-12,93299.2481,23624.552,116923.8001
2024-08-13,93299.2481,24077.0813,117376.3294
2024-08-14,93299.2481,24149.0925,117448.3406
2024-08-15,93299.2481,24829.098,118128.3462
2024-08-16,93299.2481,24717.715,118016.9631
2024-08-19,93299.2481,24888.7594,118188.0076
2024-08-20,93299.2481,25029.8104,118329.0586
2024-08-21,93299.2481,25099.4926,118398.7407
2024-08-22,93299.2481,24567.2349,117866.4831
2024-08-23,81619.4227,36443.6408,118063.0634
2024-08-26,81619.4227,35761.296,117380.7186
2024-08-27,81619.4227,35725.2324,117344.655
2024-08-28,81619.4227,35238.3068,116857.7295
2024-08-29,93020.5181,24209.0102,117229.5284
2024-08-30,93020.5181,24783.3533,117803.8714
2024-09-03,104627.1795,12690.0,117317.1795
2024-09-04,104627.1795,12479.76,117106.9395
2024-09-05,104627.1795,12808.08,117435.2595
2024-09-06,104627.1795,12340.08,116967.2595
2024-09-09,104627.1795,12628.8,117255.9795
2024-09-10,104627.1795,12927.6,117554.7795
2024-09-11,92966.6481,24955.0087,117921.6568
2024-09-12,69346.7958,49160.4228,118507.2186
2024-09-13,69346.7958,49424.0075,118770.8033
2024-09-16,69346.7958,48573.7547,117920.5505
2024-09-17,69346.7958,48366.1796,117712.9754
2024-09-18,69346.7958,48050.2939,117397.0897
2024-09-19,69346.7958,49821.8088,119168.6046
2024-09-20,80877.2113,38407.1275,119284.3388
2024-09-23,68931.8688,50504.0994,119435.9682
