datetime,equity,cash,position,close_price,drawdown_pct
2023-10-31T00:00:00+08:00,10000.0,10000.0,0,14.6487,0.0
2023-11-01T00:00:00+08:00,10000.0,10000.0,0,15.681,0.0
2023-11-02T00:00:00+08:00,10000.0,10000.0,0,16.792,0.0
2023-11-03T00:00:00+08:00,10000.0,10000.0,0,18.0701,0.0
2023-11-06T00:00:00+08:00,10000.0,10000.0,0,17.9423,0.0
2023-11-07T00:00:00+08:00,10000.0,10000.0,0,18.2864,0.0
2023-11-08T00:00:00+08:00,10000.0,10000.0,0,18.3552,0.0
2023-11-09T00:00:00+08:00,10000.0,10000.0,0,18.0799,0.0
2023-11-10T00:00:00+08:00,10000.0,10000.0,0,20.2526,0.0
2023-11-13T00:00:00+08:00,10000.0,10000.0,0,19.6824,0.0
2023-11-14T00:00:00+08:00,10000.0,10000.0,0,21.7667,0.0
2023-11-15T00:00:00+08:00,10000.0,10000.0,0,22.2484,0.0
2023-11-16T00:00:00+08:00,10000.0,10000.0,0,22.3369,0.0
2023-11-17T00:00:00+08:00,10000.0,10000.0,0,22.74,0.0
2023-11-20T00:00:00+08:00,10000.0,10000.0,0,23.7723,0.0
2023-11-21T00:00:00+08:00,10000.0,10000.0,0,22.4549,0.0
2023-11-22T00:00:00+08:00,10000.0,10000.0,0,22.6122,0.0
2023-11-24T00:00:00+08:00,10014.19,6790.69,142,22.7006,0.0
2023-11-27T00:00:00+08:00,9997.43,6790.69,142,22.5827,0.1673
2023-11-28T00:00:00+08:00,9937.4,6790.69,142,22.1599,0.7667
2023-11-29T00:00:00+08:00,10032.34,6790.69,142,22.8285,0.0
2023-11-30T00:00:00+08:00,9975.1,6790.69,142,22.4254,0.5705
2023-12-01T00:00:00+08:00,10011.39,6790.69,142,22.681,0.2087
2023-12-04T00:00:00+08:00,9905.29,6790.69,142,21.9338,1.2663
2023-12-05T00:00:00+08:00,9852.24,6790.69,142,21.5602,1.7951
2023-12-06T00:00:00+08:00,9788.03,6790.69,142,21.108,2.4352
2023-12-07T00:00:00+08:00,10026.75,6790.69,142,22.7891,0.0557
2023-12-08T00:00:00+08:00,10099.35,6790.69,142,23.3004,0.0
2023-12-11T00:00:00+08:00,10435.8,6790.69,142,25.6697,0.0
2023-12-12T00:00:00+08:00,10511.18,6790.69,142,26.2006,0.0
2023-12-13T00:00:00+08:00,10688.48,6790.69,142,27.4492,0.0
2023-12-14T00:00:00+08:00,11005.39,6790.69,142,29.6809,0.0
2023-12-15T00:00:00+08:00,11058.44,6790.69,142,30.0545,0.0
2023-12-18T00:00:00+08:00,11019.35,6790.69,142,29.7792,0.3535
2023-12-19T00:00:00+08:00,11083.57,6790.69,142,30.2315,0.0
2023-12-20T00:00:00+08:00,10713.61,6790.69,142,27.6262,3.3379
2023-12-21T00:00:00+08:00,11024.68,6790.69,142,29.8168,0.5313
2023-12-22T00:00:00+08:00,11059.66,6790.69,142,30.0631,0.2157
2023-12-26T00:00:00+08:00,11290.53,6790.69,142,31.689,0.0
2023-12-27T00:00:00+08:00,11317.11,6790.69,142,31.8762,0.0
2023-12-28T00:00:00+08:00,11298.92,6790.69,142,31.7481,0.1607
2023-12-29T00:00:00+08:00,11184.19,6790.69,142,30.9401,1.1745
2024-01-02T00:00:00+08:00,10714.06,6790.69,142,27.6293,5.3287
2024-01-03T00:00:00+08:00,10463.6,6790.69,142,25.8655,7.5418
2024-01-04T00:00:00+08:00,10280.31,10280.31,0,25.2053,9.1614
2024-01-05T00:00:00+08:00,10307.92,7548.5,108,25.5502,8.9174
2024-01-08T00:00:00+08:00,10573.97,7548.5,108,28.0136,6.5666
2024-01-09T00:00:00+08:00,10572.9,7548.5,108,28.0037,6.576
2024-01-10T00:00:00+08:00,10546.3,7548.5,108,27.7574,6.811
2024-01-11T00:00:00+08:00,10577.16,7548.5,108,28.0431,6.5384
2024-01-12T00:00:00+08:00,10538.85,7548.5,108,27.6884,6.8769
2024-01-16T00:00:00+08:00,10654.84,7548.5,108,28.7625,5.8519
2024-01-17T00:00:00+08:00,10573.97,7548.5,108,28.0136,6.5666
2024-01-18T00:00:00+08:00,10867.68,7548.5,108,30.7332,3.9713
2024-01-19T00:00:00+08:00,11258.23,7548.5,108,34.3494,0.5202
2024-01-22T00:00:00+08:00,11300.8,7548.5,108,34.7435,0.1441
2024-01-23T00:00:00+08:00,11371.04,7548.5,108,35.3939,0.0
2024-01-24T00:00:00+08:00,11530.67,7548.5,108,36.8719,0.0
2024-01-25T00:00:00+08:00,11498.74,7548.5,108,36.5763,0.2769
2024-01-26T00:00:00+08:00,11167.78,7548.5,108,33.5119,3.1471
2024-01-29T00:00:00+08:00,11277.39,7548.5,108,34.5268,2.1965
2024-01-30T00:00:00+08:00,11116.7,7548.5,108,33.0389,3.5901
2024-01-31T00:00:00+08:00,10964.52,7548.5,108,31.6298,4.9099
2024-02-01T00:00:00+08:00,11001.77,7548.5,108,31.9747,4.5869
2024-02-02T00:00:00+08:00,11129.47,7548.5,108,33.1571,3.4794
2024-02-05T00:00:00+08:00,11283.78,7548.5,108,34.5859,2.1412
2024-02-06T00:00:00+08:00,11148.62,7548.5,108,33.3345,3.3133
2024-02-07T00:00:00+08:00,11311.44,7548.5,108,34.8421,1.9012
2024-02-08T00:00:00+08:00,11501.93,7548.5,108,36.6059,0.2492
2024-02-09T00:00:00+08:00,11732.86,7548.5,108,38.7441,0.0
2024-02-12T00:00:00+08:00,11714.77,7548.5,108,38.5766,0.1542
2024-02-13T00:00:00+08:00,11468.94,7548.5,108,36.3004,2.2494
2024-02-14T00:00:00+08:00,11711.58,7548.5,108,38.547,0.1814
2024-02-15T00:00:00+08:00,11710.51,7548.5,108,38.5372,0.1905
2024-02-16T00:00:00+08:00,11627.51,7548.5,108,37.7686,0.8979
2024-02-20T00:00:00+08:00,11424.25,7548.5,108,35.8866,2.6303
2024-02-21T00:00:00+08:00,11394.45,7548.5,108,35.6107,2.8843
2024-02-22T00:00:00+08:00,11956.34,7548.5,108,40.8133,0.0
2024-02-23T00:00:00+08:00,11823.32,7548.5,108,39.5816,1.1126
2024-02-26T00:00:00+08:00,11933.99,7548.5,108,40.6064,0.1869
2024-02-27T00:00:00+08:00,11923.35,7548.5,108,40.5079,0.2759
2024-02-28T00:00:00+08:00,11783.94,7548.5,108,39.2171,1.4419
2024-02-29T00:00:00+08:00,12107.45,7548.5,108,42.2125,0.0
