fast,slow,rsi_w,rsi_os,rsi_ob,vol_th,sl,tp,pos,trades,sharpe,total_return,annual_return,max_dd_pct,win_rate,bars
5,30,14,25.0,75.0,1.3,0.03,0.15,0.3,35,1.3292,106.9382,54.7232,-22.6706,0.0000,3271
5,30,14,25.0,75.0,1.3,0.03,0.2,0.3,35,1.4552,121.7534,62.3045,-20.9009,0.0000,3271
5,30,14,25.0,75.0,1.3,0.05,0.1,0.3,85,1.3226,211.5794,108.2709,-27.4752,0.0000,3271
5,30,14,25.0,75.0,1.3,0.05,0.15,0.3,58,1.1600,160.5159,82.1403,-35.1676,0.0000,3271
5,30,14,25.0,75.0,1.3,0.05,0.2,0.3,57,1.4132,196.3725,100.4891,-29.3896,0.0000,3271
5,30,14,25.0,75.0,1.6,0.03,0.1,0.3,44,1.3560,77.2646,39.5384,-12.2975,0.0000,3271
5,30,14,25.0,75.0,1.6,0.03,0.15,0.3,35,1.5048,67.6433,34.6149,-13.0777,0.0000,3271
5,30,14,25.0,75.0,1.6,0.03,0.2,0.3,34,1.5142,79.3750,40.6183,-12.1387,0.0000,3271
5,30,14,25.0,75.0,1.6,0.05,0.1,0.3,70,1.3277,138.7947,71.0250,-23.2916,0.0000,3271
5,30,14,25.0,75.0,1.6,0.05,0.15,0.3,51,1.1937,108.6120,55.5797,-27.4057,0.0000,3271
5,30,14,25.0,75.0,1.6,0.05,0.2,0.3,46,1.3777,129.5703,66.3047,-24.4116,0.0000,3271
5,30,14,30.0,65.0,1.0,0.03,0.1,0.3,21,1.1011,152.6703,78.1255,-22.6976,0.0000,3271
5,30,14,30.0,65.0,1.0,0.03,0.15,0.3,257,0.4579,89.8226,45.9646,-52.9004,0.0000,3271
5,30,14,30.0,65.0,1.0,0.03,0.2,0.3,252,0.4596,74.7351,38.2440,-49.4478,0.0000,3271
5,30,14,30.0,65.0,1.0,0.05,0.1,0.3,116,1.4465,463.9337,237.4074,-29.5235,0.0000,3271
5,30,14,30.0,65.0,1.0,0.05,0.15,0.3,79,1.2627,312.5712,159.9511,-40.6088,0.0000,3271
5,30,14,30.0,65.0,1.0,0.05,0.2,0.3,72,1.4488,339.2232,173.5897,-36.0458,0.0000,3271
