symbol,signal_interval_minutes,entry_score,max_intraday_trades,status,sharpe_ratio,ewm_sharpe,total_return,annual_return,max_ddpercent,return_drawdown_ratio,total_trade_count,end_balance,elapsed_sec
NVDA.US,3,0.62,2,ok,-8.16003052337124,-8.2123753288182,-0.2158169200000004,-17.265353600000033,-0.29257760640872366,-0.737639912531479,6,19956.836616,0.21
NVDA.US,3,0.62,4,ok,-9.435562611005508,-9.4393737334453,-0.22236711999999992,-17.789369599999993,-0.22369903384159787,-0.9940459562174905,12,19955.526576,0.155
NVDA.US,3,0.62,6,ok,-5.769769762987818,-5.737705142555233,-0.1885888795999935,-15.08711036799948,-0.24014177272173076,-0.7853230925321966,18,19962.28222408,0.153
NVDA.US,3,0.64,2,ok,-8.16003052337124,-8.2123753288182,-0.2158169200000004,-17.265353600000033,-0.29257760640872366,-0.737639912531479,6,19956.836616,0.14
NVDA.US,3,0.64,4,ok,-9.435562611005508,-9.4393737334453,-0.22236711999999992,-17.789369599999993,-0.22369903384159787,-0.9940459562174905,12,19955.526576,0.138
NVDA.US,3,0.64,6,ok,-5.769769762987818,-5.737705142555233,-0.1885888795999935,-15.08711036799948,-0.24014177272173076,-0.7853230925321966,18,19962.28222408,0.141
NVDA.US,3,0.66,2,ok,-8.16003052337124,-8.2123753288182,-0.2158169200000004,-17.265353600000033,-0.29257760640872366,-0.737639912531479,6,19956.836616,0.14
NVDA.US,3,0.66,4,ok,-9.435562611005508,-9.4393737334453,-0.22236711999999992,-17.789369599999993,-0.22369903384159787,-0.9940459562174905,12,19955.526576,0.146
NVDA.US,3,0.66,6,ok,-5.769769762987818,-5.737705142555233,-0.1885888795999935,-15.08711036799948,-0.24014177272173076,-0.7853230925321966,18,19962.28222408,0.155
NVDA.US,3,0.68,2,ok,-8.16003052337124,-8.2123753288182,-0.2158169200000004,-17.265353600000033,-0.29257760640872366,-0.737639912531479,6,19956.836616,0.149
NVDA.US,3,0.68,4,ok,-8.28475722572124,-8.281839429093264,-0.20892840595001516,-16.714272476001213,-0.21992704919381917,-0.9499895838910155,12,19958.214318809998,0.142
NVDA.US,3,0.68,6,ok,-13.993602586212209,-13.991662557311955,-0.3490160297,-27.921282376,-0.30491133700766326,-1.1446475986270994,18,19930.19679406,0.145
NVDA.US,5,0.62,2,ok,-13.930509984759166,-13.946095919569837,-0.3050862159500012,-24.406897276000095,-0.2848155548509548,-1.0711711869446672,6,19938.98275681,0.171
NVDA.US,5,0.62,4,ok,-9.094006235151364,-9.067586180340058,-0.4476478551499907,-35.81182841199926,-0.4295133458742987,-1.0422210612310037,12,19910.470428970002,0.148
NVDA.US,5,0.62,6,ok,-5.054747713946112,-5.056291930798876,-0.31526866529999475,-25.22149322399958,-0.4765242268697673,-0.661600496937917,17,19936.94626694,0.15
NVDA.US,5,0.64,2,ok,-13.930509984759166,-13.946095919569837,-0.3050862159500012,-24.406897276000095,-0.2848155548509548,-1.0711711869446672,6,19938.98275681,0.153
NVDA.US,5,0.64,4,ok,-9.094006235151364,-9.067586180340058,-0.4476478551499907,-35.81182841199926,-0.4295133458742987,-1.0422210612310037,12,19910.470428970002,0.152
NVDA.US,5,0.64,6,ok,-5.054747713946112,-5.056291930798876,-0.31526866529999475,-25.22149322399958,-0.4765242268697673,-0.661600496937917,17,19936.94626694,0.167
NVDA.US,5,0.66,2,ok,-13.930509984759166,-13.946095919569837,-0.3050862159500012,-24.406897276000095,-0.2848155548509548,-1.0711711869446672,6,19938.98275681,0.142
NVDA.US,5,0.66,4,ok,-9.094006235151364,-9.067586180340058,-0.4476478551499907,-35.81182841199926,-0.4295133458742987,-1.0422210612310037,12,19910.470428970002,0.145
NVDA.US,5,0.66,6,ok,-5.054747713946112,-5.056291930798876,-0.31526866529999475,-25.22149322399958,-0.4765242268697673,-0.661600496937917,17,19936.94626694,0.149
NVDA.US,5,0.68,2,ok,-3.8263340743329417,-3.797895263340979,-0.13103045000000257,-10.482436000000206,-0.23091732716740196,-0.5674344649979988,6,19973.79391,0.152
NVDA.US,5,0.68,4,ok,-5.986319812632051,-5.9462430089816625,-0.23585837014999944,-18.868669611999955,-0.2789010854393853,-0.8456703199215748,11,19952.82832597,0.152
NVDA.US,5,0.68,6,ok,-2.224700026942086,-2.219244681647549,-0.1075402502999867,-8.603220023998936,-0.3228183070193073,-0.33312934230076013,15,19978.491949940002,0.147
NVDA.US,10,0.62,2,ok,-18.893601862507165,-18.879493989070703,-0.40389844579999945,-32.311875663999956,-0.32010838037017664,-1.261755300916918,6,19919.22031084,0.16
NVDA.US,10,0.62,4,ok,-2.460936680193651,-2.466697952836863,-0.11442805829999791,-9.154244663999833,-0.3140491724396887,-0.36436350846290844,11,19977.11438834,0.152
NVDA.US,10,0.62,6,ok,-3.5405612023820305,-3.5455963303598024,-0.19732987080000042,-15.786389664000033,-0.3968509008228035,-0.4972393168085802,13,19960.53402584,0.145
NVDA.US,10,0.64,2,ok,-18.893601862507165,-18.879493989070703,-0.40389844579999945,-32.311875663999956,-0.32010838037017664,-1.261755300916918,6,19919.22031084,0.151
NVDA.US,10,0.64,4,ok,-2.460936680193651,-2.466697952836863,-0.11442805829999791,-9.154244663999833,-0.3140491724396887,-0.36436350846290844,11,19977.11438834,0.164
NVDA.US,10,0.64,6,ok,-3.5405612023820305,-3.5455963303598024,-0.19732987080000042,-15.786389664000033,-0.3968509008228035,-0.4972393168085802,13,19960.53402584,0.155
NVDA.US,10,0.66,2,ok,-18.893601862507165,-18.879493989070703,-0.40389844579999945,-32.311875663999956,-0.32010838037017664,-1.261755300916918,6,19919.22031084,0.146
NVDA.US,10,0.66,4,ok,-2.460936680193651,-2.466697952836863,-0.11442805829999791,-9.154244663999833,-0.3140491724396887,-0.36436350846290844,11,19977.11438834,0.152
NVDA.US,10,0.66,6,ok,-3.5405612023820305,-3.5455963303598024,-0.19732987080000042,-15.786389664000033,-0.3968509008228035,-0.4972393168085802,13,19960.53402584,0.153
NVDA.US,10,0.68,2,ok,-23.435273767318368,-23.44635621620966,-0.4450605573500077,-35.60484458800062,-0.361305121548911,-1.231813585819205,6,19910.98788853,0.147
NVDA.US,10,0.68,4,ok,-2.9658889809856777,-2.971833133527048,-0.14727505274999553,-11.782004219999642,-0.34372262054528097,-0.4284706444875773,12,19970.54498945,0.157
NVDA.US,10,0.68,6,ok,-3.403256849964107,-3.4088728650511317,-0.18224801774998634,-14.579841419998907,-0.37865336405202654,-0.4813056876075863,14,19963.550396450002,0.173
TSLA.US,3,0.62,2,ok,-8.517073662821373,-8.58157429204368,-0.416433099999991,-33.31464799999928,-0.5685657497906831,-0.7324273404673082,6,19916.71338,0.172
TSLA.US,3,0.62,4,ok,-10.306929814262658,-10.371977380503951,-0.5258399171000017,-42.06719336800013,-0.6531533659054849,-0.8050787832517942,12,19894.83201658,0.144
TSLA.US,3,0.62,6,ok,-9.44657195415577,-9.478855437403631,-0.43813177419999016,-35.05054193599921,-0.5077895170904055,-0.862821620876404,18,19912.37364516,0.149
TSLA.US,3,0.64,2,ok,-8.517073662821373,-8.58157429204368,-0.416433099999991,-33.31464799999928,-0.5685657497906831,-0.7324273404673082,6,19916.71338,0.137
TSLA.US,3,0.64,4,ok,-10.19736982987744,-10.261736727916933,-0.5153367670999942,-41.22694136799954,-0.6426636585145836,-0.8018763162851225,12,19896.93264658,0.145
TSLA.US,3,0.64,6,ok,-9.18157324450257,-9.211580584387084,-0.4276286242000049,-34.21028993600039,-0.49729371554355006,-0.8599115790807851,18,19914.47427516,0.151
