date,cash,position_value,nav
2021-05-24,100000.0,0.0,100000.0
2021-05-25,85388.8928,14580.1084,99969.0012
2021-05-26,70882.2096,29076.6166,99958.8262
2021-05-27,63523.5497,36377.2701,99900.8198
2021-05-28,63523.5497,36480.0579,100003.6076
2021-06-01,63523.5497,36399.1092,99922.6589
2021-06-02,63523.5497,36324.3966,99847.9463
2021-06-03,63523.5497,35521.4096,99044.9593
2021-06-04,63523.5497,36346.9851,99870.5348
2021-06-07,63523.5497,36228.9353,99752.485
2021-06-08,63523.5497,36174.159,99697.7087
2021-06-09,63523.5497,36268.7776,99792.3273
2021-06-10,63523.5497,36804.9014,100328.4511
2021-06-11,63523.5497,36846.9953,100370.545
2021-06-14,63523.5497,37333.0475,100856.5972
2021-06-15,63523.5497,36896.1121,100419.6618
2021-06-16,63523.5497,36835.6212,100359.1709
2021-06-17,63523.5497,37423.9211,100947.4708
2021-06-18,63523.5497,37122.4857,100646.0354
2021-06-21,63523.5497,37080.7824,100604.3321
2021-06-22,63523.5497,37322.7065,100846.2562
2021-06-23,63523.5497,37840.0627,101363.6124
2021-06-24,63523.5497,38158.3057,101681.8554
2021-06-25,63523.5497,37741.1247,101264.6744
2021-06-28,63523.5497,38503.0676,102026.6173
2021-06-29,63523.5497,38605.0295,102128.5792
2021-06-30,63523.5497,38550.9643,102074.514
2021-07-01,63523.5497,38309.781,101833.3307
2021-07-02,63523.5497,38678.9399,102202.4896
2021-07-06,63523.5497,38977.7518,102501.3015
2021-07-07,63523.5497,38742.1812,102265.7309
2021-07-08,63523.5497,38834.425,102357.9747
2021-07-09,63523.5497,39194.5552,102718.1049
2021-07-12,63523.5497,39730.0379,103253.5876
2021-07-13,63523.5497,39595.9725,103119.5222
2021-07-14,63523.5497,39465.9101,102989.4599
2021-07-15,63523.5497,38773.3487,102296.8984
2021-07-16,63523.5497,38301.0915,101824.6412
2021-07-19,63523.5497,38099.9596,101623.5093
2021-07-20,63523.5497,38499.0985,102022.6482
2021-07-21,63523.5497,38783.3724,102306.9221
2021-07-22,63523.5497,38842.4954,102366.0451
2021-07-23,63523.5497,39039.631,102563.1807
2021-07-26,63523.5497,39198.1088,102721.6585
2021-07-27,63523.5497,38567.9181,102091.4678
2021-07-28,63523.5497,38726.7795,102250.3292
2021-07-29,63523.5497,39191.4401,102714.9898
2021-07-30,71065.7614,31212.3141,102278.0755
2021-08-02,71065.7614,31474.5239,102540.2853
2021-08-03,71065.7614,31673.5595,102739.3209
2021-08-04,71065.7614,31706.7128,102772.4741
2021-08-05,71065.7614,31865.1756,102930.9369
2021-08-06,71065.7614,31582.6073,102648.3686
2021-08-09,71065.7614,31709.9111,102775.6725
2021-08-10,71065.7614,31454.8803,102520.6417
2021-08-11,71065.7614,31441.0321,102506.7934
2021-08-12,71065.7614,31684.4529,102750.2143
2021-08-13,71065.7614,31729.9453,102795.7067
2021-08-16,71065.7614,31394.4919,102460.2532
2021-08-17,78086.865,23755.6952,101842.5602
2021-08-18,78086.865,23822.3295,101909.1945
2021-08-19,78086.865,23887.4265,101974.2916
2021-08-20,78086.865,24211.454,102298.319
2021-08-23,78086.865,24638.455,102725.32
2021-08-24,78086.865,24589.3573,102676.2223
2021-08-25,78086.865,24634.6111,102721.4762
2021-08-26,78086.865,24470.0033,102556.8683
2021-08-27,78086.865,24774.6088,102861.4738
2021-08-30,78086.865,25154.3256,103241.1906
2021-08-31,78086.865,25134.6137,103221.4788
2021-09-01,78086.865,25050.268,103137.1331
2021-09-02,78086.865,24990.9437,103077.8087
2021-09-03,78086.865,25095.5986,103182.4637
