bar_index,bar_datetime,symbol,side,qty,price,fee
2,2021-05-26T00:00:00,MSFT,BUY,30,241.29655,2.171669
2,2021-05-26T00:00:00,AMZN,BUY,45,163.729525,2.210349
3,2021-05-27T00:00:00,TSM,BUY,68,106.856935,2.179881
3,2021-05-27T00:00:00,TSLA,BUY,35,206.744599,2.170818
4,2021-05-28T00:00:00,AVGO,BUY,173,42.52285,2.206936
48,2021-08-02T00:00:00,AMZN,SELL,45,167.655,2.263342
60,2021-08-18T00:00:00,TSM,SELL,68,103.282509,2.106963
91,2021-10-01T00:00:00,MSFT,SELL,30,271.269601,2.441426
119,2021-11-10T00:00:00,TSLA,SELL,35,336.799965,3.5364
156,2022-01-04T00:00:00,TSM,BUY,66,122.124842,2.418072
156,2022-01-04T00:00:00,TSLA,BUY,19,396.512701,2.260122
166,2022-01-19T00:00:00,AVGO,SELL,173,53.760192,2.790154
171,2022-01-26T00:00:00,TSLA,SELL,19,317.473492,1.809599
173,2022-01-28T00:00:00,TSM,SELL,66,110.736023,2.192573
206,2022-03-17T00:00:00,AVGO,BUY,137,55.899211,2.297458
208,2022-03-21T00:00:00,NVDA,BUY,292,26.458827,2.317793
209,2022-03-22T00:00:00,TSLA,BUY,25,309.9969,2.324977
210,2022-03-23T00:00:00,MSFT,BUY,26,290.077769,2.262607
211,2022-03-24T00:00:00,MSFT,SELL,26,288.755328,2.252292
214,2022-03-29T00:00:00,AMZN,BUY,46,170.384,2.351299
221,2022-04-07T00:00:00,AMZN,SELL,46,158.4,2.18592
224,2022-04-12T00:00:00,AVGO,SELL,137,54.824497,2.253287
224,2022-04-12T00:00:00,TSLA,SELL,25,332.543341,2.494075
225,2022-04-13T00:00:00,NVDA,SELL,292,21.688512,1.899914
292,2022-07-21T00:00:00,NVDA,BUY,427,17.85627,2.287388
293,2022-07-22T00:00:00,NVDA,SELL,427,17.864258,2.288411
381,2022-11-25T00:00:00,AVGO,BUY,150,50.21474,2.259663
394,2022-12-14T00:00:00,NVDA,BUY,423,17.968039,2.280144
402,2022-12-27T00:00:00,NVDA,SELL,423,15.058109,1.910874
414,2023-01-13T00:00:00,TSM,BUY,91,81.319575,2.220024
428,2023-02-03T00:00:00,MSFT,BUY,29,252.357703,2.195512
428,2023-02-03T00:00:00,AMZN,BUY,67,105.26,2.115726
429,2023-02-06T00:00:00,AMZN,SELL,67,102.925,2.068792
442,2023-02-24T00:00:00,NVDA,BUY,320,23.200517,2.22725
482,2023-04-24T00:00:00,TSM,SELL,91,81.735295,2.231374
486,2023-04-28T00:00:00,AMZN,BUY,70,107.73,2.26233
508,2023-05-31T00:00:00,TSLA,BUY,41,199.78,2.457294
517,2023-06-13T00:00:00,TSM,BUY,84,105.279653,2.653047
556,2023-08-09T00:00:00,TSM,SELL,84,92.094105,2.320771
561,2023-08-16T00:00:00,MSFT,SELL,29,314.04839,2.732221
561,2023-08-16T00:00:00,TSLA,SELL,41,228.02,2.804646
590,2023-09-27T00:00:00,AMZN,SELL,70,125.76,2.64096
608,2023-10-23T00:00:00,NVDA,SELL,320,41.200191,3.955218
611,2023-10-26T00:00:00,MSFT,BUY,28,333.372938,2.800333
