fast,slow,rsi_w,rsi_os,rsi_ob,vol_th,sl,tp,pos,trades,sharpe,total_return,annual_return,max_dd_pct,win_rate,bars
5,20,14,25.0,65.0,1.0,0.04,0.12,0.3,9,0.9789,194.0137,99.2821,-44.3820,0.0000,818
5,20,14,25.0,65.0,1.0,0.04,0.18,0.3,7,0.9713,113.0209,57.8358,-33.6003,0.0000,818
5,20,14,25.0,65.0,1.0,0.04,0.25,0.3,7,0.9801,113.7602,58.2142,-33.4593,0.0000,818
5,20,14,25.0,65.0,1.0,0.06,0.12,0.3,9,0.9766,193.7577,99.1511,-44.4316,0.0000,818
5,20,14,25.0,65.0,1.0,0.06,0.18,0.3,7,0.9681,112.7649,57.7048,-33.6494,0.0000,818
5,20,14,25.0,65.0,1.0,0.06,0.25,0.3,7,0.9769,113.5042,58.0832,-33.5080,0.0000,818
5,20,14,25.0,65.0,1.3,0.04,0.12,0.3,8,0.9804,153.9740,78.7927,-39.6177,0.0000,818
5,20,14,25.0,65.0,1.3,0.04,0.18,0.3,7,0.9713,113.0209,57.8358,-33.6003,0.0000,818
5,20,14,25.0,65.0,1.3,0.04,0.25,0.3,7,0.9801,113.7602,58.2142,-33.4593,0.0000,818
5,20,14,25.0,65.0,1.3,0.06,0.12,0.3,8,0.9778,153.7180,78.6617,-39.6678,0.0000,818
5,20,14,25.0,65.0,1.3,0.06,0.18,0.3,7,0.9681,112.7649,57.7048,-33.6494,0.0000,818
5,20,14,25.0,65.0,1.3,0.06,0.25,0.3,7,0.9769,113.5042,58.0832,-33.5080,0.0000,818
5,20,14,25.0,65.0,1.6,0.04,0.12,0.3,7,0.9045,186.3549,95.3629,-46.2539,0.0000,818
5,20,14,25.0,65.0,1.6,0.04,0.18,0.3,7,0.9045,186.3549,95.3629,-46.2539,0.0000,818
5,20,14,25.0,65.0,1.6,0.04,0.25,0.3,7,0.9045,186.3549,95.3629,-46.2539,0.0000,818
5,20,14,25.0,65.0,1.6,0.06,0.12,0.3,7,0.9023,186.0989,95.2319,-46.3075,0.0000,818
5,20,14,25.0,65.0,1.6,0.06,0.18,0.3,7,0.9023,186.0989,95.2319,-46.3075,0.0000,818
5,20,14,25.0,65.0,1.6,0.06,0.25,0.3,7,0.9023,186.0989,95.2319,-46.3075,0.0000,818
5,20,14,25.0,70.0,1.0,0.04,0.12,0.3,9,0.9789,194.0137,99.2821,-44.3820,0.0000,818
5,20,14,25.0,70.0,1.0,0.04,0.18,0.3,7,0.9713,113.0209,57.8358,-33.6003,0.0000,818
5,20,14,25.0,70.0,1.0,0.04,0.25,0.3,7,0.9801,113.7602,58.2142,-33.4593,0.0000,818
5,20,14,25.0,70.0,1.0,0.06,0.12,0.3,9,0.9766,193.7577,99.1511,-44.4316,0.0000,818
5,20,14,25.0,70.0,1.0,0.06,0.18,0.3,7,0.9681,112.7649,57.7048,-33.6494,0.0000,818
5,20,14,25.0,70.0,1.0,0.06,0.25,0.3,7,0.9769,113.5042,58.0832,-33.5080,0.0000,818
5,20,14,25.0,70.0,1.3,0.04,0.12,0.3,8,0.9804,153.9740,78.7927,-39.6177,0.0000,818
5,20,14,25.0,70.0,1.3,0.04,0.18,0.3,7,0.9713,113.0209,57.8358,-33.6003,0.0000,818
5,20,14,25.0,70.0,1.3,0.04,0.25,0.3,7,0.9801,113.7602,58.2142,-33.4593,0.0000,818
5,20,14,25.0,70.0,1.3,0.06,0.12,0.3,8,0.9778,153.7180,78.6617,-39.6678,0.0000,818
5,20,14,25.0,70.0,1.3,0.06,0.18,0.3,7,0.9681,112.7649,57.7048,-33.6494,0.0000,818
5,20,14,25.0,70.0,1.3,0.06,0.25,0.3,7,0.9769,113.5042,58.0832,-33.5080,0.0000,818
5,20,14,25.0,70.0,1.6,0.04,0.12,0.3,7,0.9045,186.3549,95.3629,-46.2539,0.0000,818
